Canton,Distrito,codigo,Area,Poblacion2022,Vinculo,dist_elevacion
San José,Carmen,10101,1.47,2946,/wiki/Carmen_(Costa_Rica),1156
San José,Merced,10102,2.17,15408,/wiki/Merced_(Costa_Rica),1154
San José,Hospital,10103,3.3,24030,/wiki/Hospital_(Costa_Rica),1160
San José,Catedral,10104,2.35,15682,/wiki/Catedral_(Costa_Rica),1161
San José,Zapote,10105,2.87,21990,/wiki/Zapote_(Costa_Rica),1176
San José,San Francisco de Dos Ríos,10106,2.64,23745,/wiki/San_Francisco_de_Dos_R%C3%ADos,1168
San José,Uruca,10107,8.44,42861,/wiki/La_Uruca,1112
San José,Mata Redonda,10108,3.69,10119,/wiki/Mata_Redonda_(San_Jos%C3%A9),1125
San José,Pavas,10109,9.39,89531,/wiki/Pavas_(San_Jos%C3%A9),1044
San José,Hatillo,10110,4.38,60723,/wiki/Hatillo_(San_Jos%C3%A9),1125
San José,San Sebastián,10111,4.01,44923,/wiki/San_Sebasti%C3%A1n_(San_Jos%C3%A9),1125
Escazú,Escazú,10201,4.56,13752,/wiki/Escaz%C3%BA_(Costa_Rica),1101
Escazú,San Antonio,10202,17.01,28329,/wiki/San_Antonio_de_Escaz%C3%BA,1245
Escazú,San Rafael,10203,12.96,29121,/wiki/San_Rafael_de_Escaz%C3%BA,1042
Desamparados,Desamparados,10301,3.31,37479,/wiki/Desamparados_(Costa_Rica),1148
Desamparados,San Miguel,10302,21.36,38716,/wiki/San_Miguel_de_Desamparados,1230
Desamparados,San Juan de Dios,10303,2.98,24505,/wiki/San_Juan_de_Dios_(Costa_Rica),1190
Desamparados,San Rafael Arriba,10304,3.21,18412,/wiki/San_Rafael_Arriba,1200
Desamparados,San Antonio,10305,2.1,11343,/wiki/San_Antonio_de_Desamparados,1163
Desamparados,Frailes,10306,19.57,4586,/wiki/Frailes_(Costa_Rica),1615
Desamparados,Patarrá,10307,16.09,14919,/wiki/Patarr%C3%A1,1270
Desamparados,San Cristóbal,10308,25.47,4769,/wiki/San_Crist%C3%B3bal_(Costa_Rica),1700
Desamparados,Rosario,10309,14.77,3787,/wiki/Rosario_de_Desamparados,1321
Desamparados,Damas,10310,2.57,15713,/wiki/Damas_(Costa_Rica),1180
Desamparados,San Rafael Abajo,10311,2.01,26781,/wiki/San_Rafael_Abajo,1145
Desamparados,Gravilias,10312,2.94,17237,/wiki/Gravilias_(Costa_Rica),1150
Desamparados,Los Guido,10313,3.01,31120,/wiki/Los_Guido,1250
Puriscal,Santiago,10401,34.52,12600,/wiki/Santiago_de_Puriscal,1105
Puriscal,Mercedes Sur,10402,183.58,7099,/wiki/Mercedes_Sur,1125
Puriscal,Barbacoas,10403,18.74,4486,/wiki/Barbacoas_(Costa_Rica),1160
Puriscal,Grifo Alto,10404,26.21,1492,/wiki/Grifo_Alto_(Costa_Rica),1021
Puriscal,San Rafael,10405,15.53,2009,/wiki/San_Rafael_de_Puriscal,825
Puriscal,Candelarita,10406,24.87,1753,/wiki/Candelarita_(Costa_Rica),980
Puriscal,Desamparaditos,10407,7.14,794,/wiki/Desamparaditos_(Costa_Rica),765
Puriscal,San Antonio,10408,14.5,4720,/wiki/San_Antonio_de_Puriscal,1090
Puriscal,Chires,10409,230.47,3640,/wiki/Chires,430
